iter	MultiClass
0	1.683907988
1	1.47859221
2	1.327859946
3	1.204581767
4	1.100162658
5	1.012343654
6	0.9394032042
7	0.8759526765
8	0.8176891886
9	0.7632858009
10	0.7170635603
11	0.6768763393
12	0.6396034511
13	0.6065570382
14	0.5755919949
15	0.5466715384
16	0.5200927902
17	0.4967359636
18	0.4724786522
19	0.4525145454
20	0.4331643167
21	0.4153850575
22	0.4003508482
23	0.3856247749
24	0.371889448
25	0.3583403299
26	0.3472467136
27	0.3367506622
28	0.3282045559
29	0.3186579309
30	0.3085504541
31	0.3000678104
32	0.2908361979
33	0.2826172081
34	0.275013817
35	0.2680704323
36	0.2643903014
37	0.2577612561
38	0.2533123674
39	0.2475740164
40	0.2415698854
41	0.2370767664
42	0.2321010089
43	0.2270307096
44	0.2230206741
45	0.2205728427
46	0.2155539633
47	0.2120749091
48	0.2093518964
49	0.2068370199
50	0.2038073767
51	0.1997826057
52	0.1963735811
53	0.1943529991
54	0.1906467715
55	0.1869957016
56	0.1853890526
57	0.1824688696
58	0.1799881459
59	0.1770267185
60	0.1739571039
61	0.1718408787
62	0.1707391985
63	0.169510627
64	0.1682056461
65	0.1671521075
66	0.1646079638
67	0.1628426083
68	0.1610910117
69	0.1597908139
70	0.1569299153
71	0.1561868813
72	0.1539167585
73	0.1532595193
74	0.1526134429
75	0.1500877444
76	0.148678776
77	0.147765752
78	0.1471848474
79	0.146158381
80	0.1444268183
81	0.144098448
82	0.1428016285
83	0.1420859352
84	0.1409123154
85	0.1401301379
86	0.1394369902
87	0.1387060893
88	0.1384870225
89	0.1365254499
90	0.1355598343
91	0.1335218027
92	0.1316438261
93	0.1307897101
94	0.1300444656
95	0.1281771733
96	0.1272405937
97	0.1267975401
98	0.1262202512
99	0.1259983898
100	0.1246022452
101	0.1228706515
102	0.1211047003
103	0.1207756012
104	0.1199730238
105	0.1184131669
106	0.1171060497
107	0.1163381711
108	0.1151798402
109	0.114553667
110	0.1140820637
111	0.1135065655
112	0.1132601385
113	0.1118850733
114	0.1111065938
115	0.1106734092
116	0.1094056007
117	0.1090621561
118	0.1086771792
119	0.1079233157
120	0.1070276492
121	0.1059722607
122	0.1049554443
123	0.1046007036
124	0.1038779029
125	0.103053186
126	0.1019655014
127	0.1008863943
128	0.09981067585
129	0.09922802188
130	0.09867888337
131	0.097563344
132	0.09692954735
133	0.09614182501
134	0.09527637598
135	0.0950183647
136	0.09402612475
137	0.09366633225
138	0.09345658661
139	0.0928701187
140	0.09263805246
141	0.09221648357
142	0.09128095268
143	0.09077861097
144	0.0899971605
145	0.0895397712
146	0.08899603906
147	0.08871522361
148	0.08834997265
149	0.08759068251
150	0.08724023746
151	0.08660693756
152	0.08620842135
153	0.08554624251
154	0.08526351885
155	0.085185294
156	0.08486164881
157	0.08436270695
158	0.08369577426
159	0.08322117061
160	0.08257326164
161	0.08234962694
162	0.08203236321
163	0.08181344963
164	0.08124177075
165	0.08078480194
166	0.0805493016
167	0.07989736096
168	0.07957667708
169	0.07918073454
170	0.07895233478
171	0.07875691955
172	0.07815382477
173	0.07803474993
174	0.07763264325
175	0.07699940324
176	0.07645059472
177	0.0763526297
178	0.07617810379
179	0.07575689061
180	0.07538853306
181	0.07491937999
182	0.07479914343
183	0.074562783
184	0.07402804335
185	0.07380016908
186	0.07338360364
187	0.07331732476
188	0.07277507527
189	0.07251373442
190	0.07222251617
191	0.07187738856
192	0.07180018174
193	0.07158481454
194	0.07129097682
195	0.07082517177
196	0.0703897998
197	0.07021831728
198	0.06985247815
199	0.06949789094
200	0.06919992435
201	0.0688558806
202	0.06836121103
203	0.06814557723
204	0.06767026524
205	0.06720386622
206	0.06698896074
207	0.06686470154
208	0.06667839541
209	0.06633349906
210	0.06592607146
211	0.06562033209
212	0.0653303624
213	0.06493736885
214	0.06482541553
215	0.06456752072
216	0.0642785613
217	0.0641166396
218	0.0638937727
219	0.06368393348
220	0.06348274486
221	0.06333370156
222	0.06315672858
223	0.06272344992
224	0.0623402524
225	0.06223662413
226	0.06214812554
227	0.06197460153
228	0.06172726869
229	0.06133875907
230	0.06122135815
231	0.06107564783
232	0.0609764965
233	0.06073434878
234	0.06038868818
235	0.06009078922
236	0.05983486625
237	0.05956371899
238	0.05949707503
239	0.05915876854
240	0.0591016618
241	0.05868989283
242	0.05829888146
243	0.05802781649
244	0.05786040507
245	0.0576694472
246	0.0574965312
247	0.05715265498
248	0.05702218186
249	0.05686425567
250	0.05655214663
251	0.05625131644
252	0.05608225178
253	0.05569920079
254	0.05539541222
255	0.05529051062
256	0.05513799043
257	0.05504947561
258	0.05488221728
259	0.05468043183
260	0.054373251
261	0.0542047172
262	0.05408848851
263	0.05403977797
264	0.05377233303
265	0.05364268499
266	0.05343273185
267	0.05313236226
268	0.05295916571
269	0.05273955088
270	0.05241845338
271	0.05236156067
272	0.05222941257
273	0.05196656817
274	0.05189437256
275	0.05169206725
276	0.05151829445
277	0.0514706219
278	0.05135847264
279	0.05112223159
280	0.05082819572
281	0.05076366931
282	0.05062010408
283	0.05043271863
284	0.05033792288
285	0.05029503523
286	0.05009490601
287	0.04999804025
288	0.04983041823
289	0.04968423899
290	0.0495253249
291	0.04939076522
292	0.04922867102
293	0.04915724792
294	0.04908282519
295	0.0489426456
296	0.04867491823
297	0.04838746964
298	0.04819552838
299	0.04807297973
300	0.0478366062
301	0.04762928205
302	0.04739404363
303	0.04726200655
304	0.04702502685
305	0.04700215255
306	0.04687750334
